STATE,DEM,GOP,Johnson,Start,End,Pollster
FL,48,46,03,Nov 05,Nov 06,Opinion
GA,43,49,04,Nov 03,Nov 05,YouGov
FL,46,45,02,Nov 03,Nov 06,Quinnipiac
FL,45,45,04,Nov 02,Nov 04,YouGov
FL,47,45,05,Oct 31,Nov 06,SurveyMonkey
FL,49,45,03,Nov 01,Nov 02,Opinion
FL,46,45,02,Oct 27,Nov 01,Quinnipiac
FL,49,47,03,Oct 27,Nov 01,Opinion
FL,46,45,05,Oct 24,Oct 30,SurveyMonkey
FL,48,40,03,Oct 25,Oct 30,TargetSmart/Wm.
FL,42,46,04,Oct 25,Oct 27,Siena
FL,46,45,04,Oct 26,Oct 27,Emerson
FL,45,44,05,Oct 25,Oct 26,Marist
FL,48,44,00,Oct 25,Oct 26,PPP
FL,43,39,06,Oct 20,Oct 25,U.
FL,43,45,04,Oct 21,Oct 24,Selzer
FL,46,43,03,Oct 21,Oct 23,Florida
FL,48,45,02,Oct 20,Oct 24,SurveyUSA
FL,46,43,03,Oct 20,Oct 21,YouGov
FL,49,45,03,Oct 20,Oct 20,Opinion
FL,48,44,04,Oct 10,Oct 16,Quinnipiac
FL,43,45,07,Oct 08,Oct 16,SurveyMonkey
FL,46,42,05,Oct 12,Oct 13,PPP
FL,47,44,05,Oct 10,Oct 11,Opinion
FL,49,43,01,Oct 05,Oct 09,Florida
FL,45,42,05,Oct 03,Oct 05,Marist
FL,44,45,04,Oct 02,Oct 04,Emerson
FL,41,38,06,Sep 27,Oct 04,U.
FL,46,41,05,Sep 27,Oct 02,Quinnipiac
FL,46,42,07,Sep 27,Sep 29,Mason
FL,47,46,04,Sep 28,Sep 29,Opinion
FL,45,43,03,Sep 27,Sep 28,PPP
FL,44,45,03,Sep 19,Sep 21,Suffolk
FL,46,41,06,Sep 16,Sep 19,Monmouth
FL,41,40,09,Sep 10,Sep 14,Siena
FL,44,47,06,Sep 07,Sep 12,Opinion
FL,44,42,05,Sep 07,Sep 09,YouGov
FL,42,46,03,Sep 07,Sep 08,JMC
FL,43,44,05,Sep 04,Sep 06,PPP
FL,43,43,08,Aug 29,Sep 07,Quinnipiac
FL,44,42,06,Aug 22,Aug 24,Mason
FL,41,43,08,Aug 19,Aug 22,Florida
FL,42,40,10,Aug 09,Sep 01,SurveyMonkey
FL,52,38,08,Aug 14,Aug 18,Saint
FL,48,39,06,Aug 12,Aug 15,Monmouth
FL,45,40,05,Aug 10,Aug 12,YouGov
FL,45,44,06,Aug 10,Aug 10,Opinion
FL,41,36,09,Aug 04,Aug 10,Marist
FL,46,43,00,Aug 05,Aug 07,PPP
FL,43,43,07,Jul 30,Aug 07,Quinnipiac
FL,43,39,04,Aug 01,Aug 03,Suffolk
FL,42,47,02,Jul 09,Jul 10,JMC
FL,41,36,07,Jul 05,Jul 11,Marist
FL,36,41,07,Jun 30,Jul 11,Quinnipiac
FL,46,42,02,Jun 25,Jun 27,SurveyUSA
FL,44,41,00,Jun 21,Jun 24,YouGov
FL,42,36,07,Jun 08,Jun 19,Quinnipiac
FL,40,41,04,Jun 02,Jun 05,PPP
FL,45,42,00,May 31,Jun 02,Mason-Dixon
FL,43,42,00,May 16,May 19,YouGov
FL,46,42,00,May 17,May 18,Gravis
FL,43,42,00,May 01,May 31,Morning
FL,43,42,00,Apr 27,May 08,Quinnipiac
FL,49,41,00,Mar 04,Mar 10,Marist
FL,44,45,00,Mar 04,Mar 06,SurveyUSA
FL,50,43,00,Mar 02,Mar 06,Opinion
FL,44,46,00,Feb 24,Feb 24,PPP
FL,43,43,00,Feb 01,Feb 29,Morning
FL,45,38,00,Jan 30,Feb 06,Florida
FL,44,47,00,Jan 15,Jan 18,Florida
FL,50,49,00,Jan 01,Jan 01,Election
GA,45,45,06,Oct 31,Nov 06,SurveyMonkey
GA,45,49,06,Nov 02,Nov 03,Opinion
GA,44,45,08,Oct 30,Nov 01,Marist
GA,42,51,02,Oct 29,Oct 31,Emerson
AZ,42,44,04,Oct 26,Oct 28,YouGov
GA,44,46,07,Oct 24,Oct 30,SurveyMonkey
GA,42,49,03,Oct 25,Oct 27,SurveyUSA
GA,43,44,08,Oct 20,Oct 26,Quinnipiac
GA,46,50,03,Oct 20,Oct 20,Opinion
GA,42,44,09,Oct 17,Oct 20,AbtSRBI
GA,45,41,09,Oct 08,Oct 16,SurveyMonkey
GA,38,44,05,Sep 20,Sep 22,JMC
GA,40,47,09,Sep 13,Sep 21,Quinnipiac
GA,42,45,08,Sep 15,Sep 18,Monmouth
GA,42,46,10,Sep 14,Sep 14,Opinion
GA,39,45,06,Sep 09,Sep 13,Emerson
GA,42,44,10,Sep 06,Sep 08,Marist
GA,39,40,12,Aug 09,Sep 01,SurveyMonkey
GA,43,43,11,Aug 17,Aug 17,Opinion
GA,41,45,05,Aug 10,Aug 12,YouGov
GA,39,43,08,Aug 04,Aug 08,Gravis
GA,44,37,07,Aug 06,Aug 07,JMC
GA,41,38,11,Aug 01,Aug 04,Abt
GA,42,46,05,Jul 29,Jul 31,SurveyUSA
GA,40,49,06,May 27,May 30,PPP
GA,43,42,00,May 01,May 31,Morning
GA,41,44,00,May 15,May 15,Opinion
GA,41,45,00,May 09,May 12,Abt
GA,41,50,00,Feb 22,Feb 23,SurveyUSA
GA,39,45,00,Feb 01,Feb 29,Morning
GA,45,53,00,Jan 01,Jan 01,Election
HI,52,29,09,Oct 31,Nov 06,SurveyMonkey
HI,52,31,07,Oct 24,Oct 30,SurveyMonkey
HI,51,25,07,Aug 09,Sep 01,SurveyMonkey
HI,50,31,00,May 01,May 31,Morning
HI,54,29,00,Feb 01,Feb 29,Morning
HI,71,28,00,Jan 01,Jan 01,Election
ID,29,47,07,Oct 31,Nov 06,SurveyMonkey
ID,31,49,11,Oct 24,Oct 30,SurveyMonkey
ID,29,48,06,Oct 23,Oct 24,Rasmussen
ID,23,52,04,Oct 21,Oct 23,Emerson
ID,30,40,10,Sep 28,Oct 09,Dan
ID,23,44,13,Aug 18,Aug 31,Dan
ID,25,44,19,Aug 09,Sep 01,SurveyMonkey
ID,23,44,00,Jul 05,Jul 16,Dan
ID,34,45,00,May 01,May 31,Morning
ID,32,51,00,Feb 01,Feb 29,Morning
ID,33,65,00,Jan 01,Jan 01,Election
IL,52,35,07,Oct 31,Nov 06,SurveyMonkey
IL,53,41,02,Oct 27,Oct 30,Emerson
IL,53,34,08,Oct 24,Oct 30,SurveyMonkey
IL,45,34,06,Oct 26,Oct 27,Loras
IL,51,36,06,Oct 16,Oct 18,Victory
IL,53,28,05,Sep 27,Oct 02,Southern
IL,49,35,04,Sep 21,Sep 24,Victory
IL,45,39,06,Sep 19,Sep 21,Emerson
IL,43,30,08,Sep 13,Sep 16,Loras
IL,45,31,12,Aug 09,Sep 01,SurveyMonkey
IL,51,34,07,Jul 14,Jul 16,Victory
IL,48,35,00,May 01,May 31,Morning
IL,51,33,00,Feb 01,Feb 29,Morning
IL,57,41,00,Jan 01,Jan 01,Election
IN,35,52,10,Oct 31,Nov 06,SurveyMonkey
IN,37,48,09,Nov 01,Nov 03,Howey
IN,39,50,04,Oct 27,Oct 30,Monmouth
IN,37,49,11,Oct 24,Oct 30,SurveyMonkey
IN,37,43,09,Oct 10,Oct 16,Ball
IN,41,45,09,Oct 11,Oct 13,Monmouth
IN,38,43,11,Oct 03,Oct 05,Howey
IN,36,43,11,Sep 06,Sep 08,Howey-DePauw
IN,30,46,13,Aug 09,Sep 01,SurveyMonkey
IN,36,47,10,Aug 13,Aug 16,Monmouth
IN,37,45,00,May 01,May 31,Morning
IN,41,48,00,Apr 26,Apr 28,Marist
IN,39,47,00,Apr 18,Apr 21,Howey
IN,41,42,00,Feb 01,Feb 29,Morning
IN,44,54,00,Jan 01,Jan 01,Election
IA,37,47,09,Oct 31,Nov 06,SurveyMonkey
IA,39,46,06,Nov 01,Nov 04,Selzer
IA,41,44,05,Nov 01,Nov 03,Emerson
IA,44,43,03,Nov 01,Nov 03,Loras
IA,41,44,05,Nov 01,Nov 02,RABA
IA,40,44,10,Oct 24,Oct 30,SurveyMonkey
IA,44,44,04,Oct 20,Oct 26,Quinnipiac
IA,40,45,10,Oct 08,Oct 16,SurveyMonkey
IA,39,43,06,Oct 03,Oct 06,Selzer
IA,38,38,09,Sep 20,Sep 22,Loras
IA,37,44,10,Sep 13,Sep 21,Quinnipiac
IA,37,45,08,Sep 12,Sep 14,Monmouth
IA,39,40,10,Sep 06,Sep 08,RABA
IA,39,44,08,Aug 31,Sep 01,Emerson
IA,45,43,00,Aug 30,Aug 31,PPP
IA,36,40,16,Aug 09,Sep 01,SurveyMonkey
IA,40,40,07,Aug 17,Aug 19,YouGov
IA,41,39,12,Aug 09,Aug 16,Quinnipiac
IA,36,37,06,Aug 08,Aug 10,Suffolk
IA,35,35,12,Aug 03,Aug 07,Marist
IA,39,40,03,Jul 13,Jul 15,YouGov
IA,42,44,06,Jul 08,Jul 11,Monmouth
IA,37,37,07,Jul 05,Jul 10,Marist
IA,42,40,08,Jul 07,Jul 08,Gravis
IA,44,31,06,Jun 24,Jun 28,Loras
IA,41,39,00,Jun 22,Jun 23,PPP
IA,44,41,00,Jun 09,Jun 13,PPP
IA,40,40,00,May 01,May 31,Morning
IA,45,38,00,Feb 01,Feb 29,Morning
IA,42,42,00,Jan 08,Jan 10,PPP
IA,48,40,00,Jan 02,Jan 07,Marist
IA,52,47,00,Jan 01,Jan 01,Election
KS,36,48,10,Oct 31,Nov 06,SurveyMonkey
KS,34,58,07,Nov 01,Nov 03,Fort
KS,38,49,07,Oct 26,Oct 30,SurveyUSA
KS,36,47,13,Oct 24,Oct 30,SurveyMonkey
KS,36,47,12,Oct 20,Oct 28,SurveyMonkey
KS,36,47,07,Oct 11,Oct 15,SurveyUSA
KS,36,48,08,Sep 06,Sep 11,SurveyUSA
KS,30,43,17,Aug 09,Sep 01,SurveyMonkey
KS,39,44,08,Aug 03,Aug 07,SurveyUSA
KS,27,44,00,Jul 11,Jul 21,Fort
KS,36,47,08,Jul 08,Jul 11,SurveyUSA
KS,35,46,00,May 01,May 31,Morning
KS,37,43,00,Feb 01,Feb 29,Morning
KS,38,60,00,Jan 01,Jan 01,Election
KY,35,53,06,Oct 31,Nov 06,SurveyMonkey
KY,31,59,08,Oct 24,Oct 30,SurveyMonkey
KY,32,56,00,Oct 26,Oct 28,Cygnal
KY,37,54,01,Oct 25,Oct 30,Western
KY,29,52,07,Aug 09,Sep 01,SurveyMonkey
KY,35,49,00,May 01,May 31,Morning
KY,38,46,00,Feb 01,Feb 29,Morning
KY,38,61,00,Jan 01,Jan 01,Election
LA,38,52,04,Oct 31,Nov 06,SurveyMonkey
LA,36,54,05,Oct 24,Oct 30,SurveyMonkey
LA,35,50,05,Oct 19,Oct 21,Southern
LA,34,54,02,Oct 17,Oct 19,Mason
LA,35,49,07,Oct 15,Oct 21,U.
LA,35,45,06,Sep 22,Sep 24,JMC
LA,33,49,08,Sep 15,Sep 17,Opinion
LA,33,49,09,Aug 09,Sep 01,SurveyMonkey
LA,33,51,00,May 01,May 31,Morning
LA,36,52,00,May 05,May 06,JMC
LA,35,50,00,Feb 01,Feb 29,Morning
LA,41,58,00,Jan 01,Jan 01,Election
ME,47,39,07,Oct 31,Nov 06,SurveyMonkey
ME,46,42,05,Oct 28,Oct 30,Emerson
ME,50,38,07,Oct 24,Oct 30,SurveyMonkey
ME,42,37,09,Oct 24,Oct 26,Maine
ME,48,37,05,Oct 20,Oct 25,U.
ME,42,36,09,Oct 14,Oct 15,Maine
ME,44,36,09,Oct 07,Oct 09,Maine
ME,40,36,12,Sep 15,Sep 20,U.
ME,37,37,11,Sep 15,Sep 17,MPRC
ME,42,39,09,Sep 04,Sep 10,SurveyUSA
ME,44,35,12,Sep 02,Sep 05,Emerson
ME,37,34,15,Aug 09,Sep 01,SurveyMonkey
ME,43,33,10,Aug 04,Aug 08,Gravis
ME,42,35,00,Jun 15,Jun 21,U.
ME,39,41,00,May 01,May 31,Morning
ME,41,42,00,Feb 01,Feb 29,Morning
ME,56,41,00,Jan 01,Jan 01,Election
MD,60,29,06,Oct 31,Nov 06,SurveyMonkey
MD,63,27,06,Oct 24,Oct 30,SurveyMonkey
MD,63,27,04,Sep 27,Sep 30,U.
MD,58,25,06,Sep 17,Sep 20,Goucher
MD,54,25,06,Aug 18,Aug 30,OpinionWorks
MD,54,27,09,Aug 09,Sep 01,SurveyMonkey
MD,51,33,00,May 01,May 31,Morning
MD,61,28,00,Apr 15,Apr 17,PPP
MD,63,27,00,Apr 05,Apr 09,Marist
MD,63,28,00,Mar 30,Apr 03,Washington
MD,52,32,00,Feb 01,Feb 29,Morning
MD,62,37,00,Jan 01,Jan 01,Election
MA,56,29,07,Oct 31,Nov 06,SurveyMonkey
MA,56,26,08,Oct 23,Nov 02,Western
MA,58,28,08,Oct 24,Oct 30,SurveyMonkey
MA,57,25,04,Oct 24,Oct 26,Suffolk
MA,54,28,07,Oct 13,Oct 16,MassINC
MA,58,26,07,Sep 24,Oct 03,Western
MA,47,34,09,Sep 15,Sep 20,U.
MA,54,28,09,Sep 07,Sep 10,MassINC
MA,50,33,09,Sep 03,Sep 05,Emerson
MA,48,29,11,Aug 09,Sep 01,SurveyMonkey
MA,50,33,00,May 01,May 31,Morning
MA,55,31,00,May 02,May 05,Suffolk
MA,62,36,00,Apr 01,Apr 10,Western
MA,49,37,00,Feb 01,Feb 29,Morning
MA,61,38,00,Jan 01,Jan 01,Election
MI,44,42,08,Oct 31,Nov 06,SurveyMonkey
MI,46,41,06,Nov 03,Nov 04,PPP
MI,43,42,08,Oct 24,Oct 30,SurveyMonkey
MI,50,43,03,Oct 23,Oct 25,Emerson
MI,41,34,09,Oct 22,Oct 24,EPIC
MI,41,36,07,Oct 16,Oct 19,Marketing
MI,45,37,11,Oct 08,Oct 16,SurveyMonkey
MI,42,31,10,Oct 10,Oct 11,Glengariff
MI,43,32,10,Oct 01,Oct 03,EPIC
MI,42,35,09,Sep 27,Sep 28,Glengariff
MI,46,41,08,Sep 18,Sep 24,Target
MI,47,28,11,Sep 01,Sep 30,Michigan
MI,38,35,10,Sep 10,Sep 13,EPIC
MI,45,40,07,Aug 25,Aug 28,Emerson
MI,44,37,05,Aug 22,Aug 24,Suffolk
MI,39,38,13,Aug 09,Sep 01,SurveyMonkey
MI,43,32,08,Jul 30,Aug 04,EPIC
MI,41,32,08,Jul 30,Aug 01,DetroitNews/Glengariff
MI,42,39,00,Jul 13,Jul 15,YouGov
MI,34,29,00,Jul 11,Jul 15,Marketing
MI,43,39,00,May 24,May 26,Glengariff
MI,42,39,00,May 01,May 31,Morning
MI,49,38,00,Mar 23,Mar 24,SurveyUSA
MI,47,37,00,Mar 19,Mar 22,EPIC-MRA
MI,52,36,00,Mar 01,Mar 03,Marist
MI,42,41,00,Feb 01,Feb 29,Morning
MI,54,45,00,Jan 01,Jan 01,Election
MN,46,37,10,Oct 31,Nov 06,SurveyMonkey
MN,47,38,09,Oct 24,Oct 30,SurveyMonkey
MN,49,39,05,Oct 22,Oct 25,SurveyUSA
MN,47,39,06,Oct 20,Oct 22,Mason
MN,48,35,04,Oct 10,Oct 13,SurveyUSA
MN,46,39,06,Sep 16,Sep 20,SurveyUSA
MN,44,38,06,Sep 12,Sep 14,Mason
MN,41,34,15,Aug 09,Sep 01,SurveyMonkey
MN,45,35,00,May 01,May 31,Morning
MN,48,35,00,Apr 25,Apr 27,Star
MN,44,39,00,Feb 01,Feb 29,Morning
MN,43,38,00,Jan 18,Jan 20,Mason-Dixon
MN,53,45,00,Jan 01,Jan 01,Election
MS,41,50,04,Oct 31,Nov 06,SurveyMonkey
MS,42,47,05,Oct 24,Oct 30,SurveyMonkey
MS,43,46,04,Aug 09,Sep 01,SurveyMonkey
MS,33,51,00,May 01,May 31,Morning
MS,43,46,00,Mar 28,Mar 30,Mason-Dixon
MS,32,54,00,Feb 01,Feb 29,Morning
MS,44,56,00,Jan 01,Jan 01,Election
MO,41,47,07,Nov 04,Nov 05,Emerson
MO,40,48,08,Oct 31,Nov 06,SurveyMonkey
MO,37,50,04,Nov 01,Nov 02,PPP
MO,37,52,05,Oct 28,Oct 31,Emerson
MO,38,52,04,Oct 28,Oct 31,Monmouth
MO,39,46,10,Oct 24,Oct 30,SurveyMonkey
MO,42,47,03,Oct 24,Oct 26,Mason
MO,39,47,05,Oct 17,Oct 19,Emerson
MO,41,46,05,Oct 09,Oct 11,Monmouth
MO,37,46,05,Sep 21,Sep 23,YouGov
MO,34,47,07,Sep 09,Sep 13,Emerson
MO,41,47,00,Aug 26,Aug 27,PPP
MO,34,43,14,Aug 09,Sep 01,SurveyMonkey
MO,43,44,08,Aug 19,Aug 22,Monmouth
MO,42,45,00,Aug 08,Aug 09,PPP
MO,41,40,09,Jul 23,Jul 24,Mason
MO,37,47,08,Jul 20,Jul 24,SurveyUSA
MO,36,46,07,Jul 11,Jul 11,PPP
MO,37,45,00,May 01,May 31,Morning
MO,38,43,00,Mar 03,Mar 10,Fort
MO,38,45,00,Feb 01,Feb 29,Morning
MO,44,54,00,Jan 01,Jan 01,Election
MT,31,53,10,Oct 31,Nov 06,SurveyMonkey
MT,38,48,11,Oct 24,Oct 30,SurveyMonkey
MT,36,46,11,Oct 10,Oct 12,Mason
MT,27,43,07,Oct 03,Oct 10,Montana
MT,31,44,14,Aug 09,Sep 01,SurveyMonkey
MT,36,45,00,May 01,May 31,Morning
MT,35,47,00,Feb 01,Feb 29,Morning
MT,41,55,00,Jan 01,Jan 01,Election
NE,34,52,08,Oct 31,Nov 06,SurveyMonkey
NE,33,51,10,Oct 24,Oct 30,SurveyMonkey
NE,29,56,07,Sep 25,Sep 27,Emerson
NE,32,42,15,Aug 09,Sep 01,SurveyMonkey
NE,35,48,00,May 01,May 31,Morning
NE,35,48,00,Feb 01,Feb 29,Morning
NE,38,61,00,Jan 01,Jan 01,Election
NV,47,46,04,Nov 04,Nov 05,Emerson
NV,44,43,10,Oct 31,Nov 06,SurveyMonkey
NV,48,45,00,Oct 31,Nov 01,PPP
NV,43,49,05,Oct 27,Nov 01,Opinion
NV,43,43,11,Oct 24,Oct 30,SurveyMonkey
NV,44,42,03,Oct 26,Oct 27,Emerson
NV,43,43,10,Oct 20,Oct 24,Marist
NV,46,42,05,Oct 20,Oct 22,Rasmussen
NV,48,41,06,Oct 20,Oct 23,Bendixen
NV,47,40,07,Oct 14,Oct 17,Monmouth
NV,46,40,04,Oct 12,Oct 14,YouGov
NV,40,44,09,Oct 08,Oct 16,SurveyMonkey
NV,46,44,07,Oct 10,Oct 15,Opinion
NV,47,43,00,Oct 10,Oct 11,PPP
NV,43,43,09,Oct 02,Oct 04,Emerson
NV,44,41,08,Sep 27,Oct 02,Repass
NV,44,38,07,Sep 27,Sep 29,Suffolk
NV,45,44,05,Sep 27,Sep 29,Bendixen
NV,40,43,08,Sep 18,Sep 20,Fox
NV,39,42,11,Sep 16,Sep 18,Rasmussen
NV,42,44,08,Sep 11,Sep 13,Monmouth
NV,41,42,08,Sep 06,Sep 08,Marist
NV,45,42,00,Sep 06,Sep 07,PPP
NV,40,37,12,Aug 09,Sep 01,SurveyMonkey
NV,44,42,05,Aug 15,Aug 17,Suffolk
NV,43,41,04,Aug 02,Aug 05,YouGov
NV,41,40,00,Jul 29,Jul 31,Rasmussen
NV,38,43,00,Jul 22,Jul 24,Rasmussen
NV,45,41,05,Jul 07,Jul 10,Monmouth
NV,44,40,00,May 01,May 31,Morning
NV,44,42,00,Feb 01,Feb 29,Morning
NV,52,46,00,Jan 01,Jan 01,Election
NH,45,44,05,Nov 04,Nov 05,Emerson
NH,49,38,06,Nov 03,Nov 06,U.
NH,49,38,08,Oct 31,Nov 06,SurveyMonkey
NH,42,42,05,Oct 31,Nov 02,Suffolk
NH,43,48,04,Oct 31,Nov 02,ARG
NH,48,43,00,Oct 31,Nov 01,PPP
NH,39,40,10,Oct 29,Nov 01,MassINC
NH,44,44,05,Oct 28,Nov 02,UMass
NH,45,38,06,Oct 26,Oct 30,U.
NH,46,36,12,Oct 24,Oct 30,SurveyMonkey
NH,46,43,06,Oct 23,Oct 25,Emerson
NH,46,42,07,Oct 22,Oct 25,Monmouth
NH,45,36,10,Oct 20,Oct 24,Marist
NH,43,38,08,Oct 17,Oct 21,UMass
NH,44,36,10,Oct 17,Oct 19,Emerson
NH,49,34,08,Oct 11,Oct 17,U.
NH,47,36,10,Oct 08,Oct 16,SurveyMonkey
NH,41,38,11,Oct 10,Oct 12,MassINC
NH,45,39,09,Oct 07,Oct 11,UMass
NH,44,42,05,Oct 03,Oct 05,Suffolk
